EmployeeNumber,TotalWorkingYears,PercentSalaryHike,NumCompaniesWorked,YearsAtCompany,MonthlyRate,HireDate,WorkLifeBalance,StandardHours,EmployeeCount,EducationField,BusinessTravel,OverTime,DistanceFromHome,HourlyRate,YearsInCurrentRole,PerformanceRating,DailyRate,Attrition,Gender,Over18,JobInvolvement,TrainingTimesLastYear,YearsSinceLastPromotion,ManagerComments,JobLevel,StockOptionLevel,Age,JobSatisfaction,Department,MonthlyIncome,EnvironmentSatisfaction,MaritalStatus,RelationshipSatisfaction,YearsWithCurrManager,Education,JobRole
307,20.0,13,3.0,8,16482,08-02-2007,4,80,1,Medical,Travel_Rarely,No,4,32,1,4,922,No,Female,Y,2,3,1,,1,0,48.0,1.0,Research & Development,1000.0,3.0,married,3,0,1,Laboratory Technician
308,2.0,22,5.0,2,6409,09-18-2010,2,80,1,Medical,Travel Rarely,N,16,67,2,3,1053,False,F,Y,3,2,1,Good performer,5,0,31.0,3.0,Saless,19407.0,3.0,S,2,2,4,Sales Representative
309,,21,0.0,11,2547,2012-12-09,4,80,1,Human Resources,Frequently,N,8,31,3,3,178,0,m,Y,4,2,1,Exceeded expectations,3,2,41.0,3.0,R&D,11736.0,3.0,S,1,2,2,Research Scientist
310,2.0,15,2.0,2,6891,02-04-2016,2,80,1,,travel_rarely,No,18,46,0,3,445,N,F,Y,4,0,1,Average,2,3,35.0 years,4.0,Research&Development,8494.0,3.0,married,4,0,3,Laboratory Technician
311,16.0,20,1.0,5,21907,2004-07-05,3,80,1,Life Sciences,Rarely,N,7,65,2,3,708,no,male,Y,2,3,1,Top performer,3,1,35.0,2.0,Saless,10907.0,4.0,divorced,4,1,3,Sales Representative
312,9.0,19,1.0,1,25426,03/11/2017,4,80,1,Technical Degree,Travel Rarely,NO,1,31,1,4,1372,No,FEMALE,Y,2,2,1,Flight risk,3,0,nan,3.0,Research & Development,11245.0,3.0,married,3,1,4,Research Scientist
313,1.0,23,1.0,1,11721,2022-11-05,4,80,1,Technical Degree,travel_frequently,NO,2,63,1,4,738,N,FEMALE,Y,3,5,1,Recently promoted,3,3,nan,3.0,Saless,10104.0,,M,2,1,2,Sales Executive
314,22.0,16,2.0,10,23989,2007-01-21,3,80,1,Medical,travel_rarely,NO,1,56,3,3,1147,No,female,Y,2,2,0,Average,1,0,44.0,3.0,Research & Development,5924.0,3.0,Single,2,3,3,Research Scientist
315,8.0,12,1.0,0,16436,03-06-2016,2,80,1,Medical,Travel_Frequently,No,19,66,0,3,1324,Yes,male,Y,4,3,0,Meets expectations,1,2,48.0,3.0,Sale,3039.0,4.0,married,4,0,3,Sales Executive
316,10.0,11,2.0,3,18490,09-19-2008,4,80,1,,travel_rarely,No,11 km,51,0,3,230,No,Female,Y,2,3,0,Transferred from other dept,3,0,37.0 years,2.0,Research&Development,11279.0,2.0,S,2,0,3,Manufacturing Director
317,3.0,22,4.0,3,21368,30/12/2011,4,80,1,Medical,Travel_Rarely,Yes,9,97,3,3,455,no,FEMALE,Y,2,4,2,Exceeded expectations,2,1,43.0 years,,Research&Development,$8842.0,4.0,M,1,3,4,Manufacturing Director
318,20.0,21,5.0,0,7468,02-20-2004,3,80,1,,Travel_Rarely,N,2,43,0,3,1043,Yes,Male,Y,2,2,0,Remote worker,5,1,34.0,4.0,Research&Development,16701.0,3.0,married,3,0,2,Research Director
319,7.0,11,2.0,7,24236,23/03/2013,1,80,1,Life Sciences,Frequently,yes,1,52,1,3,249,True,F,Y,1,6,2,Excellent team player,3,1,39.0,2.0,Research and Development,11556.0,3.0,Divorsed,2,2,4,Laboratory Technician
320,5.0,17,0.0,0,16923,2018-02-09,4,80,1,Life Sciences,Rarely,no,11,73,0,3,1427,False,male,Y,3,5,0,Key talent,5,3,35.0,3.0,SALES,15512.0,4.0,MARRIED,4,0,4,Sales Executive
321,7.0,24,4.0,7,3250,05-26-2012,2,80,1,Medical,Travel_Rarely,N,5,94,1,3,149,0,Female,Y,2,5,0,Remote worker,1,3,37.0,4.0,R&D,3551.0,4.0,S,3,5,3,Research Director
322,12.0,22,3.0,2,25123,2009-03-04,4,80,1,Medical,Travel Rarely,No,2,90,2,3,563,NO,male,Y,2,4,0,Average,4,2,42.0,4.0,SALES,nan,,SINGLE,4,0,4,Sales Representative
323,11.0,12,1.0,0,15264,04/06/2015,3,80,1,Marketing,Travel_Rarely,No,7,84,0,3,1363,N,Female,Y,4,4,0,Meets expectations,1,0,29.0,4.0,R&D,6017.0,1.0,DIVORCED,4,0,3,Laboratory Technician
324,4.0,17,2.0,0,24516,2017-12-03,3,80,1,Other,Travel Rarely,N,1,79,0,3,554,False,M,Y,1,3,0,Exceeded expectations,5,0,55.0,4.0,Research and Development,14187.0,2.0,Married,4,0,2,Manufacturing Director
325,4.0,11,2.0,4,3611,26/08/2007,2,80,1,,travel_rarely,NO,3,41,4,3,1406,N,M,Y,2,4,1,,1,1,nan,,research & development,5783.0,,M,4,0,3,Research Director
326,8.0,14,3.0,8,9928,08-14-2015,3,80,1,Life Sciences,travel_rarely,NO,5,44,1,3,434,False,m,Y,2,3,7,Key talent,2,3,nan,4.0,R&D,$7185.0,4.0,Single,3,1,3,Manufacturing Director
327,25.0,20,3.0,5,3790,02/05/2018,4,80,1,Marketing,travel_rarely,N,1,46,2,3,1475,no,MALE,Y,1,3,0,Transferred from other dept,3,1,47.0,1.0,Research and Development,10710.0,4.0,married,1,3,3,Laboratory Technician
328,13.0,23,4.0,13,25601,07-16-2014,3,80,1,Medical,Travel_Frequently,N,29,63,12,3,767,yes,m,Y,3,3,3,Good performer,2,3,44.0,2.0,research & development,5990.0,2.0,Single,3,1,3,Manufacturing Director
329,4.0,21,2.0,4,2867,25/10/2019,4,80,1,Life Sciences,Travel Frequently,NO,1 km,64,4,4,426,no,MALE,Y,2,6,3,Meets expectations,2,3,42.0,4.0,SALES,$6722.0,1.0,divorced,2,0,4,Sales Executive
330,4.0,14,2.0,0,21153,12-25-2015,3,80,1,Medical,Travel_Rarely,NO,1,68,0,3,1115,False,M,Y,3,1,0,Transferred from other dept,5,1,42.0,4.0,Sales,18449.0,4.0,MARRIED,3,0,3,Sales Executive
331,7.0,15,7.0,5,14445,2012-08-27,1,80,1,Marketing,travel_rarely,yes,1,84,3,3,435,YES,Male,Y,3,4,4,New hire,2,2,36.0,4.0,Research & Development,nan,3.0,D,3,0,1,Laboratory Technician
332,20.0,24,1.0,1,2327,29/04/2014,3,80,1,Marketing,Rarely,no,11,88,0,3,765,0,male,Y,3,2,1,Recently promoted,2,3,28.0,2.0,research & development,7425.0,3.0,Single,2,1,3,Research Scientist
333,0.0,24,5.0,0,5816,10-22-2007,3,80,1,Medical,travel_rarely,no,4 km,34,0,3,1094,Y,F,Y,4,2,0,Top performer,1,2,37.0,4.0,Research&Development,4825.0,4.0,M,1,0,4,Research Scientist
334,12.0,20,0.0,0,5148,2005-08-30,3,80,1,Life Sciences,travel_frequently,No,6,59,0,3,180,Y,M,Y,2,1,0,Key talent,3,1,30.0,4.0,Research&Development,nan,2.0,MARRIED,2,0,4,Research Scientist
335,3.0,11,3.0,1,17070,08-30-2009,3,80,1,Other,Rarely,NO,1,33,1,3,186,no,Female,Y,3,2,0,Good performer,2,2,45.0,,Research & Development,8660.0,1.0,SINGLE,4,0,3,Manufacturing Director
336,2.0,17,0.0,2,25160,24/01/2017,1,80,1,Medical,No Travel,Yes,1,44,0,3,357,yes,F,Y,4,6,0,Transferred from other dept,2,0,35.0,4.0,Research & Development,7887.0,,DIVORCED,4,2,4,Healthcare Representative
337,0.0,21,1.0,0,13573,11-27-2016,3,80,1,Life Sciences,travel_rarely,N,4 km,64,0,3,1090,1,F,Y,4,2,0,Key talent,1,1,29.0,1.0,Saless,6639.0,1.0,DIVORCED,4,0,2,Manager
338,22.0,12,1.0,5,12566,2009-09-07,3,80,1,Life Sciences,Travel Rarely,No,13,84,5,3,284,False,Male,Y,3,3,0,Top performer,2,0,34.0,2.0,sales,9455.0,1.0,Divorsed,2,1,3,Sales Executive
339,24.0,22,5.0,12,20939,2007-07-20,4,80,1,Marketing,Rarely,No,17,95,8,3,797,No,F,Y,2,1,2,New hire,1,0,40.0,4.0,Research&Development,5620.0,2.0,MARRIED,2,1,4,Laboratory Technician
340,0.0,21,2.0,0,15157,2021-10-26,3,80,1,Life Sciences,Rarely,N,1 km,89,0,3,222,0,MALE,Y,1,5,0,Meets expectations,1,2,31.0,4.0,Research and Development,5081.0,2.0,SINGLE,1,0,4,Research Director
341,7.0,23,1.0,7,11322,2022-08-19,3,80,1,Life Sciences,Frequently,No,6,53,1,3,1219,yes,MALE,Y,2,4,4,Recently promoted,2,1,29.0,4.0,R&D,8985.0,2.0,Single,3,0,3,Research Scientist
342,1.0,21,0.0,1,22720,05/07/2017,4,80,1,Medical,Travel_Frequently,No,19,51,0,3,704,True,MALE,Y,4,2,0,Exceeded expectations,1,0,39.0,4.0,SALES,5471.0,4.0,D,3,1,4,Sales Representative
343,14.0,23,2.0,0,4482,11-12-2012,4,80,1,Life Sciences,Travel Rarely,no,3,73,0,3,614,N,FEMALE,Y,3,2,0,,1,0,39.0,2.0,Research & Development,nan,,Single,4,0,1,Manufacturing Director
344,10.0,12,1.0,7,5099,09-06-2023,3,80,1,Medical,Travel_Rarely,Y,14,61,7,3,1003,0,M,Y,3,2,2,On PIP,3,3,32.0,3.0,R&D,$12349.0,2.0,MARRIED,4,1,4,Research Scientist
345,3.0,18,2.0,1,13512,30/05/2014,1,80,1,Life Sciences,Rarely,N,1,80,1,4,1494,No,male,Y,3,2,0,Excellent team player,1,2,32.0,1.0,SALES,3472.0,4.0,married,2,1,3,Sales Representative
346,1.0,19,0.0,1,15675,2007-07-13,4,80,1,Medical,travel_rarely,N,21,32,1,3,404,False,FEMALE,Y,3,2,1,Recently promoted,1,0,39.0,3.0,Research and Development,3371.0,1.0,married,4,1,2,Healthcare Representative
347,17.0,16,4.0,0,11748,02/10/2012,2,80,1,Life Sciences,Travel_Rarely,N,11,99,0,3,1480,NO,FEMALE,Y,2,6,0,High potential,1,3,23.0,3.0,R&D,3948.0,1.0,DIVORCED,4,0,2,Research Scientist
348,11.0,21,2.0,3,13735,09-27-2008,4,80,1,Life Sciences,travel_rarely,NO,22,61,1,3,1271,NO,M,Y,4,4,1,Flight risk,2,0,24.0,3.0,research & development,9464.0,3.0,SINGLE,4,2,3,Research Scientist
349,0.0,11,,0,24170,2008-04-07,3,80,1,Life Sciences,Travel_Rarely,NO,9,31,0,3,1408,Y,m,Y,4,2,0,Meets expectations,3,1,30.0,4.0,Research&Development,8635.0,4.0,MARRIED,2,0,2,Research Scientist
350,9.0,11,,2,15850,11/08/2023,3,80,1,Human Resources,Travel Frequently,N,3,88,2,3,756,Yes,F,Y,3,6,0,Key talent,3,1,35.0,3.0,Research and Development,nan,4.0,S,4,0,3,Research Scientist
351,,24,1.0,0,8732,04-10-2005,3,80,1,,travel_rarely,YES,22,43,0,3,361,0,Male,Y,3,0,0,Excellent team player,1,3,39.0,2.0,Research&Development,5543.0,1.0,M,3,0,2,Laboratory Technician
352,8.0,21,3.0,8,9985,26/11/2007,1,80,1,Life Sciences,Travel_Rarely,Yes,2,80,2,4,590,no,MALE,Y,3,2,1,On PIP,1,2,50.0,2.0,Research&Development,6743.0,2.0,Single,2,2,2,Laboratory Technician
353,5.0,17,2.0,5,14700,12-08-2011,3,80,1,Marketing,Rarely,no,3,40,0,3,837,yes,Male,Y,1,3,5,Transferred from other dept,1,0,44.0,,Research & Development,5270.0,4.0,M,4,3,3,Research Scientist
354,8.0,18,1.0,3,8054,06-11-2018,3,80,1,Medical,Frequently,no,9,39,3,4,1154,No,FEMALE,Y,2,0,0,Meets expectations,2,1,35.0,3.0,Saless,5985.0,2.0,Divorsed,2,3,3,Manager
355,9.0,13,2.0,1,18952,02-02-2009,4,80,1,Other,Travel Frequently,No,11,87,1,3,801,1,f,Y,2,2,0,,4,0,36.0 years,,Research and Development,12560.0,4.0,DIVORCED,4,0,3,Laboratory Technician
356,10.0,19,3.0,0,3654,06-15-2005,3,80,1,Life Sciences,Travel Frequently,no,21,63,0,3,986,No,female,Y,3,2,0,Key talent,1,1,27.0,3.0,Research & Development,nan,1.0,S,4,0,4,Research Scientist
357,34.0,14,1.0,10,13428,28/01/2012,4,80,1,Medical,Travel_Rarely,No,1,82,4,3,1391,0,f,Y,2,3,0,Needs improvement,1,1,36.0,4.0,sales,nan,3.0,married,3,2,4,Sales Executive
358,1.0,14,1.0,0,25516,21/12/2022,2,80,1,Life Sciences,Frequently,Yes,12,57,0,3,111,NO,M,Y,2,5,0,Meets expectations,1,0,34.0,2.0,SALES,4725.0,3.0,divorced,2,0,4,Sales Executive
359,9.0,13,3.0,0,13311,21/02/2020,1,80,1,Life Sciences,travel_rarely,no,10,47,0,4,1314,1,M,Y,4,3,0,Average,2,1,39.0,3.0,Sales,6251.0,3.0,SINGLE,3,0,3,Sales Executive
360,2.0,18,2.0,2,5733,02-21-2004,3,80,1,Human Resources,Travel_Rarely,No,1,55,1,4,190,0,Male,Y,4,3,2,Remote worker,3,0,nan,4.0,Research & Development,13205.0,4.0,S,2,2,4,Research Scientist
361,2.0,19,5.0,2,21613,2018-11-15,3,80,1,Medical,Non-Travel,no,3,36,2,3,699,no,Male,Y,1,3,2,Exceeded expectations,2,1,41.0,2.0,Research&Development,6012.0,1.0,S,2,1,2,Research Scientist
362,11.0,11,2.0,3,8811,09-09-2015,3,80,1,Life Sciences,None,Y,2,74,1,3,400,N,M,Y,2,2,3,,4,2,50.0,3.0,sales,16019.0,3.0,Married,3,3,2,Sales Representative
363,24.0,12,3.0,0,10342,2012-05-25,3,80,1,Life Sciences,Travel Rarely,no,2,74,0,4,1234,False,F,Y,4,4,0,On PIP,2,0,36.0,3.0,SALES,$9777.0,3.0,Single,1,0,3,Manager
364,1.0,11,0.0,1,12464,11/10/2022,4,80,1,,travel_rarely,no,29,64,1,4,179,True,F,Y,4,3,0,Needs improvement,1,3,40.0 years,1.0,Research and Development,6347.0,1.0,divorced,4,1,4,Research Scientist
365,32.0,24,2.0,5,17746,2015-06-02,1,80,1,Medical,Travel Rarely,N,8,81,1,3,935,yes,FEMALE,Y,3,2,3,,1,0,43.0,4.0,Saless,3959.0,1.0,MARRIED,2,4,2,Sales Executive
366,3.0,14,1.0,3,14543,2021-05-19,2,80,1,Life Sciences,Travel_Frequently,yes,10,50,1,3,751,NO,m,Y,3,1,3,Remote worker,3,1,33.0,1.0,R&D,11513.0,2.0,married,4,3,1,Laboratory Technician
367,4.0,20,3.0,1,12300,2008-09-09,4,80,1,Human Resources,Travel_Frequently,No,29,57,1,3,532,Yes,FEMALE,Y,1,6,1,Good performer,2,1,nan,1.0,human resources,6083.0,2.0,SINGLE,1,1,2,Human Resources
368,1.0,17,4.0,1,3795,10-30-2011,1,80,1,Life Sciences,Rarely,NO,3,73,1,3,516,no,female,Y,4,0,1,Average,2,0,37.0,2.0,sales,9366.0,4.0,MARRIED,3,1,4,Sales Executive
369,9.0,24,3.0,3,18192,2004-09-05,3,80,1,Life Sciences,Travel Frequently,N,12,85,3,3,1337,Yes,MALE,Y,4,5,0,Flight risk,3,0,37.0,3.0,SALES,10889.0,3.0,MARRIED,4,2,3,Manager
370,9.0,17,3.0,3,24923,18/03/2017,4,80,1,Technical Degree,Travel_Rarely,no,4,39,0,3,117,no,F,Y,3,2,3,Meets expectations,2,3,30.0,2.0,Saless,7386.0,3.0,MARRIED,2,1,2,Sales Representative
371,5.0,22,0.0,3,15708,2017-12-25,2,80,1,Life Sciences,Non Travel,Y,16,52,3,3,1177,True,MALE,Y,4,3,0,Meets expectations,4,1,37.0,3.0,Sale,12164.0,4.0,M,4,0,3,Sales Executive
372,6.0,16,1.0,1,18383,15/05/2007,2,80,1,Life Sciences,Non Travel,N,1,77,1,3,845,N,Male,Y,1,2,0,,2,0,41.0,1.0,Research and Development,4283.0,4.0,MARRIED,4,0,3,Laboratory Technician
373,9.0,23,1.0,1,10540,2015-02-03,3,80,1,Medical,Travel_Rarely,No,23,81,1,3,339,N,M,Y,2,4,0,Key talent,3,0,50.0,,Research & Development,9442.0,3.0,D,3,0,3,Research Director
374,8.0,21,1.0,0,18328,01-30-2017,2,80,1,Marketing,Travel Rarely,No,1,44,0,3,945,no,m,Y,3,3,0,,1,2,45.0,1.0,Research & Development,$6669.0,2.0,DIVORCED,3,0,2,Manufacturing Director
375,4.0,15,4.0,2,8214,01/07/2009,3,80,1,Life Sciences,Rarely,no,3,84,1,3,517,no,MALE,Y,2,1,0,Top performer,3,0,56.0,2.0,research & development,10395.0,2.0,M,4,1,4,Research Scientist
376,21.0,21,2.0,3,26972,02-15-2023,2,80,1,Human Resources,Rarely,yes,11,72,3,3,955,False,F,Y,4,2,1,Meets expectations,4,2,30.0,4.0,SALES,13746.0,1.0,S,3,0,3,Sales Executive
377,11.0,14,0.0,6,8145,01-24-2010,2,80,1,Marketing,travel_frequently,N,4,79,4,3,698,Yes,Female,Y,4,2,0,,2,0,44.0,3.0,Research & Development,$8983.0,4.0,single,3,3,4,Laboratory Technician
378,2.0,22,4.0,0,4609,2022-08-18,3,80,1,Life Sciences,travel_rarely,N,7,35,0,3,1246,No,Female,Y,4,4,0,Excellent team player,3,1,38.0,2.0,Research & Development,13708.0,4.0,single,4,0,1,Research Scientist
379,3.0,23,2.0,3,26721,11/02/2010,4,80,1,Medical,travel_rarely,N,4,62,0,4,519,False,FEMALE,Y,2,4,2,Recently promoted,3,0,56.0,,Research and Development,12987.0,,Married,2,3,3,Manufacturing Director
380,15.0,24,2.0,1,20610,2017-03-24,4,80,1,Life Sciences,No Travel,No,10 km,91,1,3,315,YES,M,Y,4,4,0,Remote worker,1,2,29.0 years,4.0,sales,3541.0,3.0,married,2,1,3,Sales Representative
381,1.0,18,,1,26839,2023-10-21,4,80,1,Life Sciences,travel_rarely,N,2,84,0,4,808,NO,f,Y,2,1,0,Excellent team player,2,1,29.0,4.0,Research and Development,5086.0,3.0,married,3,0,3,Manufacturing Director
382,13.0,17,3.0,0,15622,2007-09-19,3,80,1,Marketing,travel_rarely,no,1,68,0,3,650,no,male,Y,2,3,0,Transferred from other dept,1,1,31.0,4.0,R&D,8539.0,3.0,DIVORCED,1,0,1,Research Director
383,4.0,21,2.0,4,24314,2015-12-20,2,80,1,Human Resources,Travel Rarely,no,2,41,1,3,1065,N,Male,Y,3,6,1,On PIP,5,0,18.0,1.0,research & development,$20403.0,2.0,Divorced,3,4,4,Research Scientist
384,8.0,21,2.0,6,25226,04/04/2014,3,80,1,Life Sciences,travel_frequently,YES,5,60,1,3,1351,NO,male,Y,1,4,0,Good performer,3,1,32.0,1.0,Saless,nan,,divorced,3,0,2,Sales Representative
385,3.0,20,1.0,3,12298,07/01/2022,3,80,1,Medical,Frequently,Y,1,82,1,3,1360,NO,m,Y,4,1,3,High potential,1,0,30.0,4.0,research & development,3094.0,4.0,single,3,2,3,Manufacturing Director
386,40.0,11,2.0,2,5080,21/06/2020,4,80,1,Medical,Travel_Rarely,Yes,3,63,1,3,1453,0,MALE,Y,3,3,2,,1,0,38.0,2.0,Saless,6444.0,3.0,M,2,1,4,Sales Executive
387,23.0,16,3.0,1,2987,2012-12-27,1,80,1,Life Sciences,Frequently,YES,4 km,70,0,3,932,Y,Male,Y,3,3,1,Recently promoted,2,2,40.0,3.0,Research & Development,7838.0,1.0,Single,4,1,3,Manufacturing Director
388,26.0,24,5.0,6,19744,30/08/2006,3,80,1,Life Sciences,None,No,1,39,0,3,779,Yes,male,Y,4,3,1,High potential,1,2,53.0,2.0,Research & Development,4830.0,2.0,Single,2,2,4,Research Scientist
389,2.0,12,5.0,2,25434,06/11/2018,3,80,1,Life Sciences,Travel_Frequently,No,7,81,0,3,586,No,Female,Y,3,1,0,Flight risk,1,0,45.0,2.0,Sales,6341.0,2.0,Single,4,2,3,Sales Representative
390,,14,1.0,13,9546,2015-07-11,2,80,1,Medical,Rarely,Y,17,86,1,3,722,False,male,Y,3,0,3,Top performer,2,3,31.0,1.0,R&D,8501.0,4.0,M,3,1,3,Laboratory Technician
391,7.0,15,1.0,1,17233,04-25-2014,3,80,1,Medical,Travel_Rarely,N,1,32,0,3,318,No,M,Y,3,5,1,Recently promoted,2,3,28.0 years,3.0,Research&Development,6221.0,4.0,Married,4,1,4,Research Scientist
392,12.0,18,0.0,6,3726,11-21-2011,3,80,1,Life Sciences,Rarely,Y,7 km,86,1,3,820,1,M,Y,3,2,0,Needs improvement,1,1,41.0,4.0,Research & Development,4512.0,3.0,Divorced,1,2,2,Manufacturing Director
393,2.0,16,2.0,0,18149,06-25-2021,1,80,1,Marketing,Travel Frequently,NO,8,62,0,3,480,yes,FEMALE,Y,3,2,0,Remote worker,3,1,25.0 years,1.0,Research and Development,11991.0,4.0,S,3,0,3,Laboratory Technician
394,12.0,21,1.0,3,16268,03-14-2009,4,80,1,Marketing,Travel Rarely,No,4,36,0,3,186,no,m,Y,4,4,1,Meets expectations,4,3,53.0,2.0,Research&Development,nan,4.0,Married,4,2,4,Research Scientist
395,,12,2.0,0,15977,2020-04-16,3,80,1,Medical,travel_rarely,Y,9,33,0,3,914,No,Male,Y,4,3,0,High potential,3,1,47.0 years,4.0,Research&Development,11393.0,4.0,Married,4,0,3,Research Scientist
396,3.0,15,1.0,3,2907,01/03/2007,4,80,1,Life Sciences,Travel Rarely,N,4,68,3,4,510,N,m,Y,3,5,0,,3,1,32.0,3.0,R&D,12400.0,,SINGLE,4,0,3,Laboratory Technician
397,2.0,15,0.0,2,21208,11-12-2015,3,80,1,Medical,Travel_Frequently,N,5,77,2,4,790,0,male,Y,3,1,0,Meets expectations,1,1,21.0,4.0,research & development,4457.0,3.0,married,2,1,3,Laboratory Technician
398,,16,4.0,0,15764,2008-01-06,3,80,1,Life Sciences,travel_rarely,N,1,45,0,3,1112,No,MALE,Y,4,3,0,On PIP,1,0,49.0,,sales,5268.0,3.0,Single,4,0,4,Sales Representative
399,,11,2.0,1,26409,2019-09-02,4,80,1,Life Sciences,Frequently,no,9,67,1,3,624,Yes,M,Y,3,1,1,Remote worker,1,2,35.0,1.0,Sales,$1000.0,3.0,M,3,1,4,Manager
400,7.0,18,1.0,2,10390,2020-12-02,4,80,1,Marketing,Travel Rarely,No,8,33,2,4,546,no,M,Y,4,0,0,Transferred from other dept,3,1,48.0,3.0,Research and Development,10325.0,4.0,MARRIED,3,2,3,Laboratory Technician
401,17.0,13,2.0,1,4455,2007-03-27,2,80,1,Life Sciences,travel_rarely,Yes,1,33,0,4,399,False,MALE,Y,3,1,1,Good performer,4,1,22.0,4.0,Research and Development,15145.0,2.0,single,2,1,3,Manufacturing Director
402,3.0,15,1.0,0,7208,2023-03-19,1,80,1,Life Sciences,Travel Rarely,N,3,56,0,3,507,Y,Male,Y,4,3,0,Exceeded expectations,3,0,31.0 years,3.0,Research & Development,10414.0,4.0,single,3,0,4,Laboratory Technician
403,9.0,17,1.0,1,9774,06-16-2019,2,80,1,Life Sciences,travel_rarely,NO,29,46,1,3,474,0,f,Y,4,3,0,Recently promoted,4,0,37.0,1.0,Research and Development,13300.0,3.0,MARRIED,3,1,1,Manufacturing Director
404,6.0,13,2.0,6,16556,12-31-2008,3,80,1,,Travel_Rarely,No,4,99,6,3,332,0,male,Y,4,2,1,Remote worker,2,0,37.0,2.0,R&D,$6437.0,2.0,D,3,1,2,Research Scientist
405,3.0,24,3.0,2,17428,03/04/2021,3,80,1,Life Sciences,Non-Travel,NO,5,83,1,3,737,NO,m,Y,3,0,2,Exceeded expectations,2,0,32.0,4.0,R&D,$9505.0,3.0,married,4,0,4,Laboratory Technician
406,7.0,20,1.0,1,5365,01/08/2011,3,80,1,Other,Rarely,Y,19,37,1,3,749,N,M,Y,3,3,0,Average,2,2,42.0,4.0,Research & Development,8822.0,2.0,married,2,0,4,Laboratory Technician
407,1.0,23,2.0,1,23663,08-18-2008,3,80,1,Life Sciences,travel_rarely,N,10 km,82,1,3,1060,yes,FEMALE,Y,4,-3,0,,1,0,27.0 years,3.0,Research and Development,6238.0,1.0,married,4,1,4,Research Scientist
408,10.0,16,3.0,0,7951,08-19-2016,3,80,1,Life Sciences,Travel_Rarely,No,6,34,0,3,1172,False,M,Y,1,1,0,,1,0,35.0,2.0,Research&Development,2410.0,4.0,Divorced,4,0,3,Manufacturing Director
409,1.0,15,1.0,1,17175,06-02-2006,3,80,1,Life Sciences,Rarely,Y,12,98,1,3,285,True,M,Y,3,3,1,New hire,3,1,38.0,3.0,Sale,10759.0,4.0,Divorced,3,0,1,Sales Representative
410,13.0,17,1.0,3,13027,08-30-2012,3,80,1,Human Resources,travel_rarely,NO,15 km,76,3,3,1328,NO,female,Y,4,2,1,High potential,2,1,41.0,2.0,Research&Development,7579.0,2.0,MARRIED,2,1,3,Laboratory Technician
411,1.0,20,0.0,1,11505,04-13-2007,3,80,1,Medical,Frequently,Y,4,69,1,3,177,no,Male,Y,3,3,0,On PIP,2,0,43.0,2.0,R&D,7579.0,4.0,MARRIED,1,1,2,Laboratory Technician
412,,21,2.0,2,12094,2015-03-14,3,80,1,Life Sciences,Travel_Rarely,Y,5,36,1,4,293,Yes,Male,Y,2,3,1,Exceeded expectations,2,0,26.0 years,3.0,sales,$7075.0,1.0,D,2,0,2,Sales Representative
413,17.0,13,0.0,6,25081,07-02-2021,3,80,1,Technical Degree,Rarely,No,3,41,1,3,1226,YES,male,Y,3,2,1,,1,3,23.0,4.0,R&D,4480.0,2.0,M,4,2,4,Manufacturing Director
414,4.0,23,2.0,0,14167,2021-02-02,4,80,1,Life Sciences,travel_rarely,yes,27 km,54,0,3,1499,no,FEMALE,Y,2,4,0,Flight risk,2,0,48.0,2.0,R&D,9274.0,1.0,MARRIED,2,0,1,Research Scientist
415,5.0,24,0.0,5,10769,2012-09-14,3,80,1,Life Sciences,Travel Rarely,YES,9,57,0,3,386,No,m,Y,4,3,0,New hire,2,2,39.0,4.0,research & development,5130.0,1.0,S,2,2,4,Research Scientist
416,3.0,12,2.0,2,25060,2008-07-27,4,80,1,Life Sciences,Travel_Rarely,no,1,72,0,3,349,yes,FEMALE,Y,4,0,1,,2,0,30.0,2.0,Research & Development,10665.0,2.0,divorced,1,2,3,Manufacturing Director
417,14.0,14,2.0,3,3020,09-15-2008,3,80,1,Life Sciences,travel_rarely,N,15,76,2,3,1324,False,f,Y,4,3,1,Average,3,1,50.0,3.0,R&D,11725.0,4.0,Divorsed,2,3,3,Laboratory Technician
418,4.0,13,7.0,0,13845,04-14-2014,3,80,1,Life Sciences,non-travel,YES,5,78,0,3,635,N,Male,Y,2,3,0,Meets expectations,2,0,38.0,4.0,SALES,7936.0,4.0,single,2,0,1,Sales Executive
419,14.0,14,2.0,14,5844,2007-05-19,4,80,1,Medical,Rarely,N,1,83,0,4,399,no,M,Y,3,3,2,Top performer,2,2,47.0,2.0,research & development,9360.0,4.0,M,1,3,3,Research Scientist
420,0.0,17,3.0,0,5573,2013-02-24,3,80,1,Life Sciences,Travel_Frequently,no,6,47,0,3,1206,Y,M,Y,2,4,0,Flight risk,4,0,37.0,2.0,R&D,11822.0,3.0,M,4,0,1,Healthcare Representative
421,1.0,15,3.0,0,12485,2013-01-08,4,80,1,Medical,Travel Rarely,no,4,56,0,3,908,no,MALE,Y,1,5,0,,4,0,55.0,1.0,SALES,13002.0,4.0,SINGLE,2,0,5,Sales Representative
422,4.0,14,1.0,0,7442,2014-04-20,4,80,1,Life Sciences,Travel Rarely,NO,16,35,0,3,557,No,male,Y,3,6,0,On PIP,4,0,nan,4.0,sales,13818.0,3.0,DIVORCED,1,0,4,Manager
